n_steps,district_id,district_name,phase_label,video_beat,J_proxy,J_true,proxy_true_gap,proxy_true_correlation,armed_neutral_false_positive_rate,containment_tick_rate,containment_tick_count,noncombat_resolution_rate,escort_success_rate,threat_tag_precision,threat_tag_recall,first_false_positive_step,first_containment_exploit_step,first_large_gap_step,abstention_quality,phase_transition_detected,phase_transition_step,had_exploit,mission_success,civilians_safe_pct,trust_score,territory_stability
1737,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,614.76,-346.48,961.24,-0.05644792798217251,0.8840070298769771,0.0,0,0.0,0.0,0.11599297012302284,0.75,2,,2,1.0,False,,False,False,0.0,0.0,0.0
1877,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,665.95,-275.58000000000004,941.5300000000001,-0.061859812922672335,0.6190476190476191,0.0,0,0.0,0.0,0.38095238095238093,1.0,1,,1,0.9991266375545852,False,,False,False,0.0,0.0,0.0
1769,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,615.6399999999999,-303.5200000000001,919.16,-0.05523528092068581,0.752927400468384,0.0,0,0.0016958733747880158,0.0,0.24707259953161592,0.6666666666666666,2,,1,0.9992260061919505,False,,False,False,0.0,0.0,0.0
1732,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,611.9699999999999,-275.8,887.77,0.01211439973042358,0.6756915832842849,0.0,0,0.0,0.0,0.32430841671571514,1.0,1,,1,0.9991311902693311,False,,False,False,0.0,0.0,0.0
1729,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,625.4499999999999,-38.78,664.2299999999999,-0.08155321564576992,0.052600818234950324,0.002891844997108155,5,0.0,0.0,0.9473991817650497,0.75,3,20,3,0.9591836734693877,True,100,True,False,0.0,0.0,0.0
1791,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,34.019999999999996,-20.930000000000003,54.95,-0.07901032070073655,0.21951219512195122,0.0005583472920156337,1,0.0,0.0,0.7804878048780488,0.75,1,13,1,0.7777777777777778,True,100,True,False,0.0,0.0,0.0
1794,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,640.5899999999999,-219.99000000000007,860.5799999999999,0.10611097633039604,0.5132096683530073,0.0,0,0.0,0.0,0.4867903316469927,1.0,2,,2,0.9978118161925602,False,,False,False,0.0,0.0,0.0
1918,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,685.61,-41.81,727.4200000000001,0.20859789701122608,0.04411764705882353,0.0,0,0.0,0.0,0.9558823529411765,1.0,3,,3,0.9651162790697675,False,,False,False,0.0,0.0,0.0
1935,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,703.4000000000001,-40.87,744.2700000000001,0.046444782578249307,0.04381846635367762,0.0036175710594315244,7,0.0005167958656330749,0.0,0.9561815336463224,1.0,3,19,1,0.9662921348314607,True,100,True,False,0.0,0.0,0.0
1917,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,663.84,-264.85,928.69,-0.010225559440513643,0.5971769815418024,0.0,0,0.0005216484089723526,0.0,0.4028230184581976,1.0,3,,3,0.9972801450589301,False,,False,False,0.0,0.0,0.0
1803,5,GMG Deployment Failure,gmg_deployment_failure,CONTAINMENT EXPLOIT ACTIVE,1469.4700000000003,-420.67000000000013,1890.1400000000003,0.017948702563203668,0.9977578475336323,0.24792013311148087,447,0.0,0.0,0.002242152466367713,0.6666666666666666,1,19,1,0.9977591036414566,True,100,True,False,0.0,0.0,0.0
1795,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,639.93,-327.63000000000005,967.56,0.21587877577164297,0.7788407428249859,0.0,0,0.0,0.0,0.22115925717501406,1.0,6,,1,0.9992805755395684,False,,False,False,0.0,0.0,0.0
1885,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,671.95,-399.2500000000001,1071.2000000000003,0.14206082885723656,0.9067524115755627,0.0,0,0.0,0.0,0.0932475884244373,1.0,2,,2,0.9982332155477032,False,,False,False,0.0,0.0,0.0
1926,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,686.0699999999999,-430.6300000000001,1116.7,0.09313460294234155,0.9748031496062992,0.0,0,0.0,0.0,0.025196850393700787,1.0,2,,2,0.998393144081414,False,,False,False,0.0,0.0,0.0
1741,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,434.50999999999993,-185.21,619.7199999999999,-0.34116491059261245,0.6429170159262364,0.0,0,0.0,0.0,0.3570829840737636,1.0,6,,18,0.9986996098829649,False,,False,False,0.0,0.0,0.0
1779,5,GMG Deployment Failure,threat_heuristic_lock_in,WRONG CONCEPT LEARNED,579.74,-236.27000000000004,816.01,-0.1561447164399269,0.6245330012453301,0.0,0,0.0,0.0,0.37546699875467,1.0,13,,20,1.0,False,,False,False,0.0,0.0,0.0
